"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/UXToolsExamples/Common/Assets/CoffeeCup/M_CoffeeCup.M_CoffeeCup","0","4","4","2","6.682317","0","0"
"/UXTools/Materials/M_GrabbableDots.M_GrabbableDots","0","7","7","1","9.447799","0","0"
"/UXToolsExamples/Common/DescriptionPanel/M_MRTKUnrealLogo.M_MRTKUnrealLogo","0","7","7","1","4.639316","0","0"
"/UXToolsExamples/Common/Assets/Materials/M_SimpleLit_Textured.M_SimpleLit_Textured","0","2","2","1","2.311058","0","0"
"/UXToolsExamples/Common/Assets/EarthCore/M_Earth.M_Earth","0","2","2","1","1.730936","0","0"
"/UXToolsExamples/Common/Materials/M_TrackedSurfaceMesh.M_TrackedSurfaceMesh","0","2","2","1","2.422317","0","0"
"/UXToolsExamples/Button/Blueprints/M_MusicArtwork.M_MusicArtwork","0","2","2","1","4.457558","0","0"
"/Game/sprite_material.sprite_material","0","24","24","1","153.925049","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","14","32","32","5","26.232925","0","0"
"/UXTools/Materials/M_RoundedEdgeThick.M_RoundedEdgeThick","14","20","20","2","12.393026","0","0"
"/UXTools/Materials/M_ButtonBox.M_ButtonBox","14","16","16","4","15.650005","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","14","30","30","2","21.201889","0","0"
"Globals","14","663","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","14","4","4","1","2.324862","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","14","4","4","1","1.587589","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","14","18","18","1","17.773584","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","14","4","4","1","1.699220","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","14","4","4","1","1.674251","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","14","2","2","1","0.797655","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","14","2","2","1","1.302487","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","14","2","2","1","1.939515","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","14","2","2","1","3.905059","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","14","36","36","1","28.187754","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","14","42","42","1","37.433216","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","14","238","238","1","121.939598","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","14","55","55","1","42.599834","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","14","2","2","1","0.747814","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","14","2","2","1","2.038698","0","0"
"/UXTools/XRSimulation/M_Hand.M_Hand","14","4","4","1","2.358258","0","0"
"/UXTools/Tooltip/M_TooltipSpline.M_TooltipSpline","14","4","4","1","2.249491","0","0"
"/UXTools/Fonts/M_DefaultFont.M_DefaultFont","14","11","11","1","3.653362","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","14","81","81","1","86.492767","0","0"
"/UXTools/Materials/M_SimpleLit_Color.M_SimpleLit_Color","14","4","4","1","1.719226","0","0"
"/UXTools/Pointers/Materials/M_FingerTipCursor.M_FingerTipCursor","14","4","4","1","4.594086","0","0"
"/UXTools/Pointers/Materials/M_Shadow.M_Shadow","14","2","2","1","1.992343","0","0"
"/UXTools/Pointers/Materials/M_Light.M_Light","14","2","2","1","0.956713","0","0"
"/UXTools/Pointers/Materials/M_FarBeamSpline.M_FarBeamSpline","14","4","4","1","3.826908","0","0"
"/UXTools/BoundsControl/M_Affordance.M_Affordance","14","2","2","1","0.787586","0","0"
"/LidarPointCloud/Materials/M_LidarPointCloud_Masked.M_LidarPointCloud_Masked","14","18","18","1","8.415426","0","0"
"/LidarPointCloud/Materials/M_LidarPointCloud.M_LidarPointCloud","14","11","11","1","9.920651","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","14","2","2","1","0.672817","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","14","18","18","1","17.189775","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","14","2","2","1","0.686664","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","14","2","2","1","2.049542","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","14","9","9","1","9.116652","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","14","2","2","1","0.789384","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","14","20","20","1","14.659472","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","14","9","9","1","9.891124","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","14","8","8","1","5.364870","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","14","4","4","1","1.602482","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","14","40","40","1","42.910057","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","14","396","396","1","276.542664","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","14","36","36","1","27.011766","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","14","10","10","1","11.938478","0","0"
